,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
2399,20220531,6309,巴工業,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2400,20220531,6310,井関農機,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2401,20220531,6312,フロイント産業,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2402,20220531,6315,ＴＯＷＡ,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2403,20220531,6316,丸山製作所,スタンダード（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2404,20220531,6317,北川鉄工所,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2405,20220531,6319,シンニッタン,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄 ,7,TOPIX Small 2
2406,20220531,6322,タクミナ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2407,20220531,6323,ローツェ,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2408,20220531,6324,ハーモニック・ドライブ・システムズ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2409,20220531,6325,タカキタ,スタンダード（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2410,20220531,6326,クボタ,プライム（内国株式）,3600,機械,8,機械 ,2,TOPIX Large70
2411,20220531,6327,北川精機,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2412,20220531,6328,荏原実業,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2413,20220531,6330,東洋エンジニアリング,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
2414,20220531,6331,三菱化工機,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2415,20220531,6332,月島機械,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2416,20220531,6333,帝国電機製作所,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2417,20220531,6334,明治機械,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
